Name,Team,Position,KDA Ratio,Kills Total,Deaths,Assists,Kill Participation,CS Per Minute,CS Total,Minutes Played,Games Played
Rekkles,FNC,ADC,13.7,28,6,54,0.73,10.8,2156,200,7
Mata,KT,Support,12.2,4,5,57,0.78,1.5,265,182,6
Broxah,FNC,Jungle,11.1,30,7,48,0.70,5.4,1072,200,7
Mowgli,AFS,Jungle,9,2,0,7,0.75,5.3,139,26,1
Uzi,RNG,ADC,8.8,33,8,37,0.66,10.8,2740,253,8
Ucal,KT,Mid,8.6,25,7,35,0.77,9.7,1756,182,6
Deft,KT,ADC,7.7,28,7,26,0.69,10.3,1879,182,6
Kuro,AFS,Mid,7.4,18,5,19,0.74,9.6,2015,210,6
Score,KT,Jungle,7.3,11,8,47,0.74,5,901,182,6
Doublelift,TL,ADC,7,17,5,18,0.69,11.1,2132,192,6
Haro,EDG,Jungle,6.7,16,7,31,0.69,4.9,741,152,4
Bwipo,FNC,Top,6.5,10,6,29,0.53,8,909,113,4
iBoy,EDG,ADC,6.5,28,11,43,0.83,10.4,2224,214,6
Kramer,AFS,ADC,6.3,18,6,20,0.76,11.2,2347,210,6
Betty,FW,ADC,6.3,27,10,36,0.74,9.9,2490,251,7
Moojin,FW,Jungle,6.2,23,10,39,0.73,5.1,1277,251,7
Smeb,KT,Top,6.1,10,7,33,0.55,8,1457,182,6
Scout,EDG,Mid,5.9,14,10,45,0.69,9,1929,214,6
Caps,FNC,Mid,5.7,37,12,31,0.61,8.8,1768,200,7
Attila,VIT,ADC,5.4,24,10,30,0.76,10.3,2277,221,6
Cabochard,VIT,Top,5.1,12,8,29,0.58,8.3,1837,221,6
Hylissang,FNC,Support,5.1,3,16,79,0.73,1.2,241,200,7
Ambition,GEN,Jungle,5,2,1,3,0.83,4.4,155,35,1
Ray,EDG,Top,5,19,13,46,0.76,8.1,1727,214,6
TheShy,IG,Top,5,5,4,15,0.50,9,709,79,3
Jensen,C9,Mid,4.9,34,17,49,0.81,9.3,2547,275,8
Ming,RNG,Support,4.8,8,16,69,0.73,0.7,189,253,8
Karsa,RNG,Jungle,4.7,11,7,22,0.67,4.6,694,152,5
Maple,FW,Mid,4.6,22,11,29,0.60,8.6,2146,251,7
Xiaohu,RNG,Mid,4.6,24,17,54,0.74,8.8,2216,253,8
Rookie,IG,Mid,4.5,26,15,42,0.68,9.3,1818,195,7
Ning,IG,Jungle,4.4,17,17,58,0.75,5.1,1003,195,7
sOAZ,FNC,Top,4.3,4,6,22,0.67,7.4,646,87,3
Spirit,AFS,Jungle,4.3,3,6,23,0.68,5.1,926,183,5
Duke,IG,Top,4.3,12,7,18,0.50,8.5,989,117,4
TusiN,AFS,Support,4.3,1,8,33,0.68,1.6,343,210,6
Sneaky,C9,ADC,4.2,22,15,41,0.61,9.1,2505,275,8
Hjärnan,G2,ADC,4.2,20,13,34,0.68,10.3,2750,266,7
Licorice,C9,Top,4.1,22,15,40,0.60,8.4,2301,275,8
JackeyLove,IG,ADC,4.1,33,17,36,0.69,9.7,1898,195,7
Meiko,EDG,Support,4.1,6,17,63,0.80,1.1,243,214,6
Baolan,IG,Support,4,7,16,57,0.64,1.6,319,195,7
Zeyzal,C9,Support,3.8,7,19,65,0.70,1.3,353,275,8
Impact,TL,Top,3.7,7,9,26,0.65,8.1,1553,192,6
Kiin,AFS,Top,3.7,8,9,25,0.66,9.8,2056,210,6
Wadid,G2,Support,3.6,4,14,47,0.64,1.3,338,266,7
AnDa,100,Jungle,3.5,29,17,31,0.81,5,900,181,6
Clearlove,EDG,Jungle,3.3,3,3,7,0.56,4.4,276,62,2
Rikara,100,ADC,3.3,22,32,83,0.71,5.1,1860,362,12
Jiizuké,VIT,Top,3.2,20,15,28,0.68,9.2,2033,221,6
XuHao,PVB,Jungle,3.2,5,6,14,0.83,6.3,264,42,1
Letme,RNG,Top,3.1,12,18,44,0.53,8.2,2083,253,8
Wunder,G2,Top,2.9,21,15,23,0.55,10.2,2722,266,7
SwordArt,FW,Support,2.9,2,19,53,0.65,1.8,457,251,7
CoreJJ,GEN,Support,2.8,8,12,26,0.67,1.4,282,198,6
Jankos,G2,Jungle,2.8,10,16,35,0.56,4.7,1253,266,7
Haru,GEN,Jungle,2.7,10,11,20,0.67,5.3,868,164,5
Perkz,G2,Mid,2.7,25,20,29,0.68,9.8,2600,266,7
Xmithie,TL,Jungle,2.7,10,13,25,0.69,5.8,1110,192,6
Hanabi,FW,Top,2.7,11,16,32,0.51,7.9,1970,251,7
Ssumday,100,Top,2.7,11,16,32,0.58,8.7,1578,181,6
Meliodas,PVB,Jungle,2.7,4,9,20,0.73,5.3,895,169,5
Olleh,TL,Support,2.7,4,15,36,0.78,1.3,249,192,6
Ruler,GEN,ADC,2.6,9,10,17,0.51,10.3,2035,198,6
Svenskeren,C9,Jungle,2.5,16,25,47,0.62,5,1250,250,7
Naul,PVB,Mid,2.5,14,14,21,0.63,8.4,1777,211,6
BigKoro,PVB,ADC,2.4,20,16,18,0.68,9.8,2080,211,6
Kikis,VIT,Jungle,2.2,14,25,41,0.78,4.9,1075,221,6
Pobelter,TL,Mid,2.1,13,15,19,0.63,9.5,1822,192,6
Ryu,100,Mid,2.1,12,20,30,0.57,8,1448,181,6
Crown,GEN,Mid,1.9,10,20,28,0.75,8.8,1750,198,6
Jactroll,VIT,Support,1.9,1,27,49,0.70,1.5,323,221,6
Mlxg,RNG,Jungle,1.8,18,18,14,0.56,5,509,101,3
Palette,PVB,Support,1.7,2,23,38,0.71,1.4,292,211,6
CuVee,GEN,Top,1.7,12,15,14,0.51,8.5,1693,198,6
Kongyue,MAD,Jungle,1.5,5,13,14,0.86,4.5,655,145,4
Zeros,PVB,Top,1.4,11,26,25,0.64,9.4,1993,211,6
Stitch,GRX,ADC,1.3,11,21,16,0.71,9.3,1618,174,6
Candy,GRX,Mid,1.3,8,18,15,0.61,8.8,1533,174,6
PK,GRX,Top,1.2,8,19,15,0.61,7.5,1304,174,6
Uniboy,MAD,Mid,1.2,6,18,15,0.66,9.1,1846,204,6
K,MAD,Support,1.1,1,17,17,0.56,1.1,221,204,6
Benny,MAD,Jungle,1,3,6,3,0.60,4.7,273,58,2
Breeze,MAD,ADC,0.8,7,18,8,0.47,10,2034,204,6
Koala,GRX,Support,0.8,5,28,18,0.61,1.1,197,174,6
baybay,GRX,Jungle,0.8,3,11,6,0.47,4.9,444,90,3
Liang,MAD,Top,0.7,10,23,7,0.53,7.8,1597,204,6
Blaber,C9,Jungle,0.7,2,3,0,1.00,5.2,128,25,1
Empt2y,GRX,Jungle,0.5,3,13,4,0.37,4.3,362,83,3
